"","word","sentiment"
"133","bersyukur","positif"
"134","bertanggung jawab","positif"
"135","bertekun","positif"
"136","berterimakasih","positif"
"137","beruntung","positif"
"138","berwarna ria","positif"
"139","berwawasan","positif"
"140","besar","positif"
"141","besar sekali","positif"
"142","biaya rendah","positif"
"143","bijak","positif"
"144","bijaksana","positif"
"145","bikin cemburu","positif"
"146","bimbingan","positif"
"147","bintang rock","positif"
"148","bisa digunakan","positif"
"149","bisa diterapkan","positif"
"150","bonus","positif"
"151","brilian","positif"
"152","cahaya","positif"
"153","cahaya redup","positif"
"154","cakap","positif"
"155","cantik","positif"
"156","cashbacks","positif"
"157","cekatan","positif"
"158","cemerlang","positif"
"159","cepat","positif"
"160","cerah","positif"
"161","cerdas","positif"
"162","cerdik","positif"
"163","cergas","positif"
"164","cermat","positif"
"165","cetar","positif"
"166","cetar membahana","positif"
"167","cinta","positif"
"168","cocok","positif"
"169","contoh","positif"
"170","cukup besar","positif"
"171","cukuplah","positif"
"172","damai","positif"
"173","dapat diandalkan","positif"
"174","dapat dicapai","positif"
"175","dapat diganti","positif"
"176","dapat dipercaya","positif"
"177","dapat diraih","positif"
"178","dapat disesuaikan","positif"
"179","daya tarik","positif"
"180","dengan mewah","positif"
"181","dengan senang hati","positif"
"182","dengan sopan","positif"
"183","dermawan","positif"
"184","dewasa","positif"
"185","diakses","positif"
"186","diakui","positif"
"187","dianggap baik","positif"
"188","dibaca","positif"
"189","dibebaskan","positif"
"190","diberikan","positif"
"191","dibersihkan","positif"
"192","dibuat dengan baik","positif"
"193","dicapai","positif"
"194","didominasi","positif"
"195","didukung","positif"
"196","diganggu gugat","positif"
"197","diganti oleh pengguna","positif"
"198","digunakan","positif"
"199","dihargai","positif"
"200","diinginkan","positif"
"201","diizinkan","positif"
"202","dikelola","positif"
"203","dikelola dengan baik","positif"
"204","dikembalikan","positif"
"205","dilayari","positif"
"206","dilengkapi","positif"
"207","dilepas","positif"
"208","dilihat","positif"
"209","dimenangkan","positif"
"210","dimengerti","positif"
"211","dinamis","positif"
"212","diperbaharui","positif"
"213","dipercaya","positif"
"214","diperoleh","positif"
"215","diplomatik","positif"
"216","dipoles","positif"
"217","direformasi","positif"
"218","direkomendasikan","positif"
"219","diremajakan","positif"
"220","direstrukturisasi","positif"
"221","disahkan","positif"
"222","disayangi","positif"
"223","disederhanakan","positif"
"224","disubsidi","positif"
"225","ditambah lagi","positif"
"226","ditegakkan","positif"
"227","diterima dengan baik","positif"
"228","ditingkatkan","positif"
"229","diverifikasi","positif"
"230","dorongan","positif"
"231","duanya","positif"
"232","Dukung","positif"
"233","dukungan","positif"
"234","durian runtuh","positif"
"235","edukatif","positif"
"236","efektif","positif"
"237","efektivitas","positif"
"238","efisien","positif"
"239","ekonomis","positif"
"240","ekstase","positif"
"241","elastis","positif"
"242","elegan","positif"
"243","elite","positif"
"244","emas","positif"
"245","empati","positif"
"246","enak","positif"
"247","enchantingly","positif"
"248","energi","positif"
"249","ergonomis","positif"
"250","etis","positif"
"251","euforia","positif"
"252","evaluatif","positif"
"253","examplar","positif"
"254","fajar","positif"
"255","fantastis","positif"
"256","fasih","positif"
"257","fav","positif"
"258","fave","positif"
"259","favorit","positif"
"260","fenomenal","positif"
"261","firdaus","positif"
"262","fleksibel","positif"
"263","fleksibilitas","positif"
"264","futuristik","positif"
"265","gagah","positif"
"266","gainfully","positif"
"267","gairah","positif"
"268","gamblang","positif"
"269","gembira","positif"
"270","gembira luar biasa","positif"
"271","gembira sekali","positif"
"272","gemuk","positif"
"273","gesit","positif"
"274","giat","positif"
"275","gigih","positif"
"276","gokil","positif"
"277","gratis","positif"
"278","gurih","positif"
"279","hadiah","positif"
"280","hak istimewa","positif"
"281","halal","positif"
"282","halus","positif"
"283","handal","positif"
"284","handier","positif"
"285","hangat","positif"
"286","harga diri","positif"
"287","harga rendah","positif"
"288","harmoni","positif"
"289","harmonis","positif"
"290","harta","positif"
"291","harum","positif"
"292","hasil karya","positif"
"293","hasil terbaik","positif"
"294","hati","positif"
"295","hati-hati","positif"
"296","hebat","positif"
"297","hemat","positif"
"298","hemat biaya","positif"
"299","hemat energi","positif"
"300","heran","positif"
"301","heroik","positif"
"302","hore","positif"
"303","horee","positif"
"304","hormat","positif"
"305","hubungan","positif"
"306","hujan es","positif"
"307","iba","positif"
"308","ideal","positif"
"309","idealnya","positif"
"310","idola","positif"
"311","ikhwan","positif"
"312","ilahi","positif"
"313","ilu","positif"
"314","imajinatif","positif"
"315","iman","positif"
"316","imut","positif"
"317","indah","positif"
"318","individual","positif"
"319","infalibilitas","positif"
"320","inovasi","positif"
"321","inovatif","positif"
"322","inspirasi","positif"
"323","inspirasional","positif"
"324","inspiratif","positif"
"325","instrumental","positif"
"326","integral","positif"
"327","intelijen","positif"
"328","intim","positif"
"329","intrik","positif"
"330","intuitif","positif"
"331","irama","positif"
"332","istimewa","positif"
"333","isyarat","positif"
"334","jaminan","positif"
"335","jaminan mutu","positif"
"336","janji","positif"
"337","jawa","positif"
"338","jelas","positif"
"339","jempol","positif"
"340","jempolan","positif"
"341","jenaka","positif"
"342","jenius","positif"
"343","juara","positif"
"344","jujur","positif"
"345","kagum","positif"
"346","kanan","positif"
"347","karisma","positif"
"348","karismatik","positif"
"349","karya","positif"
"350","kasih sayang","positif"
"351","kaya","positif"
"352","kaya fitur","positif"
"353","keadaan yg sebenarnya","positif"
"354","keadilan","positif"
"355","keagungan","positif"
"356","keajaiban","positif"
"357","keanggunan","positif"
"358","keangkeran","positif"
"359","keaslian","positif"
"360","kebahagiaan","positif"
"361","kebaikan","positif"
"362","kebajikan","positif"
"363","kebanggaan","positif"
"364","kebangkitan","positif"
"365","kebaruan","positif"
"366","kebebasan","positif"
"367","kebenaran","positif"
"368","keberanian","positif"
"369","keberhasilan","positif"
"370","keberlanjutan","positif"
"371","kebersamaan","positif"
"372","kebersihan","positif"
"373","keberuntungan","positif"
"374","kebesaran","positif"
"375","kebetulan","positif"
"376","kebijaksanaan","positif"
"377","kecakapan","positif"
"378","kecantikan","positif"
"379","kecemerlangan","positif"
"380","kecepatan","positif"
"381","kecerdasan","positif"
"382","kecerdikan","positif"
"383","keemasan","positif"
"384","keenakan","positif"
"385","kegairahan","positif"
"386","kegembiraan","positif"
"387","kegembiraan yg meluap-luap","positif"
"388","kehangatan","positif"
"389","keheranan","positif"
"390","keindahan","positif"
"391","keinginan","positif"
"392","keintiman","positif"
"393","kejayaan","positif"
"394","kejelasan","positif"
"395","kejujuran","positif"
"396","kekaguman","positif"
"397","kekal","positif"
"398","kekasih","positif"
"399","kekencangan","positif"
"400","kelancaran berbicara","positif"
"401","kelangsungan hidup","positif"
"402","kelas atas","positif"
"403","kelas satu","positif"
"404","kelas utama","positif"
"405","kelayakan","positif"
"406","kelezatan","positif"
"407","kelimpahan","positif"
"408","kelincahan","positif"
"409","kelip redup","positif"
"410","kelucuan","positif"
"411","keluwesan","positif"
"412","kemajuan","positif"
"413","kemakmuran","positif"
"414","kemampuan","positif"
"415","kemantapan","positif"
"416","kemasyhuran","positif"
"417","kematangan","positif"
"418","kemauan baik","positif"
"419","kemegahan","positif"
"420","kemenangan","positif"
"421","kemewahan","positif"
"422","kemudahan","positif"
"423","kemurahan hati","positif"
"424","kenangan","positif"
"425","kenikmatan","positif"
"426","kenyamanan","positif"
"427","kepanjangan akal daya","positif"
"428","kepercayaan","positif"
"429","keperkasaan","positif"
"430","kepincut","positif"
"431","kepuasan","positif"
"432","kepuasan diri","positif"
"433","keramahan","positif"
"434","keramat","positif"
"435","keranjingan","positif"
"436","kerelaan","positif"
"437","keren","positif"
"438","kerendahan hati","positif"
"439","keriangan","positif"
"440","keriuhan di pawai","positif"
"441","kerubin","positif"
"442","kesabaran","positif"
"443","kesalehan","positif"
"444","kesatuan","positif"
"445","kesayangan","positif"
"446","kesehatan","positif"
"447","kesejahteraan","positif"
"448","kesempurnaan","positif"
"449","kesenangan","positif"
"450","kesetiaan","positif"
"451","kesopanan","positif"
"452","kestabilan","positif"
"453","kesucian","positif"
"454","kesukaan","positif"
"455","kesungguhan","positif"
"456","ketabahan","positif"
"457","ketajaman","positif"
"458","ketegasan","positif"
"459","keteguhan","positif"
"460","ketekunan","positif"
"461","ketenangan","positif"
"462","ketenaran","positif"
"463","keterbukaan","positif"
"464","ketercocokan","positif"
"465","ketidakberpihakan","positif"
"466","ketrampilan","positif"
"467","ketulusan","positif"
"468","keuletan","positif"
"469","keunggulan","positif"
"470","keuntungan","positif"
"471","kewaspadaan","positif"
"472","khusus","positif"
"473","kilau","positif"
"474","klasik","positif"
"475","koheren","positif"
"476","koherensi","positif"
"477","komitmen","positif"
"478","kompak","positif"
"479","kompetitif","positif"
"480","komplementer","positif"
"481","konsisten","positif"
"482","konstruktif","positif"
"483","kontinuitas","positif"
"484","kontras","positif"
"485","kontribusi","positif"
"486","kooperatif","positif"
"487","koperasi","positif"
"488","korek api","positif"
"489","kreatif","positif"
"490","Kualitas terbaik","positif"
"491","kualitas tinggi","positif"
"492","kuasa","positif"
"493","kuat","positif"
"494","kue panas","positif"
"495","kukuh","positif"
"496","lagu","positif"
"497","lancar","positif"
"498","landasan","positif"
"499","lapang","positif"
"500","laudably","positif"
"501","layak","positif"
"502","lebih baik","positif"
"503","lebih baik dari perkiraan","positif"
"504","lebih cemerlang dari","positif"
"505","lebih cepat","positif"
"506","lebih dikenal","positif"
"507","lebih disukai","positif"
"508","lebih hangat","positif"
"509","lebih kencang","positif"
"510","lebih keras","positif"
"511","Lebih memilih","positif"
"512","lebih memilih","positif"
"513","lebih murah","positif"
"514","lebih suka","positif"
"515","lebih tenang","positif"
"516","legendaris","positif"
"517","lemah lembut","positif"
"518","lembut","positif"
"519","lezat","positif"
"520","lincah","positif"
"521","liris","positif"
"522","logis","positif"
"523","loyalitas","positif"
"524","luar biasa","positif"
"525","luas","positif"
"526","lucu","positif"
"527","lumayan","positif"
"528","luwes","positif"
"529","maaf","positif"
"530","mahir","positif"
"531","main-main","positif"
"532","maju","positif"
"533","makanan","positif"
"534","makmur","positif"
"535","malaikat","positif"
"536","mampu","positif"
"537","manfaat","positif"
"538","manis","positif"
"539","manis sekali","positif"
"540","manjur","positif"
"541","mantab","positif"
"542","manusiawi","positif"
"543","mapan","positif"
"544","martabat","positif"
"545","master","positif"
"546","masuk akal","positif"
"547","matang","positif"
"548","mau kalah","positif"
"549","mawas","positif"
"550","megah","positif"
"551","mekar","positif"
"552","melampaui","positif"
"553","melebihi","positif"
"554","melengkapi","positif"
"555","melindungi","positif"
"556","meluruskan","positif"
"557","memadai","positif"
"558","memanggil","positif"
"559","memantapkan","positif"
"560","memastikan","positif"
"561","membandingi keindahan puisi","positif"
"562","membantu","positif"
"563","membayar","positif"
"564","membebaskan","positif"
"565","memberanikan","positif"
"566","memberdayakan","positif"
"567","memberkati","positif"
"568","membesarkan hati","positif"
"569","membesut","positif"
"570","membiasakan","positif"
"571","membuat lebih baik dr","positif"
"572","membudayakan","positif"
"573","membuktikan","positif"
"574","memelihara","positif"
"575","memeluk","positif"
"576","memenuhi","positif"
"577","memenuhi syarat","positif"
"578","memeriahkan","positif"
"579","memfavoritkan","positif"
"580","memikat hati","positif"
"581","memimpin","positif"
"582","memperbaiki","positif"
"583","memperbaiki akhlak","positif"
"584","mempercantik","positif"
"585","mempercayakan","positif"
"586","memperjelas","positif"
"587","memperkaya","positif"
"588","memperkuat","positif"
"589","mempermanis","positif"
"590","memperoleh kembali","positif"
"591","mempesona","positif"
"592","memuaskan","positif"
"593","memudahkan","positif"
"594","memuja","positif"
"595","memujanya","positif"
"596","memuji","positif"
"597","memuji-muji","positif"
"598","memuji-muji terlebih-lebihan","positif"
"599","memukau","positif"
"600","memuliakan","positif"
"601","memulihkan","positif"
"602","memurnikan","positif"
"603","menakjubkan","positif"
"604","menambah","positif"
"605","menang","positif"
"606","menantang","positif"
"607","menarik","positif"
"608","menariknya","positif"
"609","menawan","positif"
"610","mencengangkan","positif"
"611","mencintai","positif"
"612","mencukupi","positif"
"613","mendalam","positif"
"614","mendamaikan","positif"
"615","mendapatkan","positif"
"616","mendebarkan","positif"
"617","mendewakan","positif"
"618","mendominasi","positif"
"619","mendorong","positif"
"620","mendukung","positif"
"621","menebus","positif"
"622","menegakkan","positif"
"623","menegaskan","positif"
"624","menegaskan lagi","positif"
"625","menenangkan","positif"
"626","menentukan","positif"
"627","menerangi","positif"
"628","menerangkan","positif"
"629","menerima","positif"
"630","menerobos","positif"
"631","mengagetkan","positif"
"632","mengagumi","positif"
"633","mengagumkan","positif"
"634","mengagungkan","positif"
"635","mengakali","positif"
"636","mengalahkan","positif"
"637","menganggap","positif"
"638","mengangkat","positif"
"639","menganjurkan","positif"
"640","mengasyikan","positif"
"641","mengasyikkan","positif"
"642","mengatasi","positif"
"643","mengecoh","positif"
"644","mengerti","positif"
"645","mengesahkan","positif"
"646","mengesankan","positif"
"647","menggairahkan","positif"
"648","menggelenyar","positif"
"649","menggelitik","positif"
"650","menggembirakan","positif"
"651","menggetarkan","positif"
"652","menggiurkan","positif"
"653","menggugah","positif"
"654","menghadiahkan","positif"
"655","menghaluskan","positif"
"656","menghargai","positif"
"657","mengharukan","positif"
"658","menghibur","positif"
"659","menghidupkan","positif"
"660","menghormat","positif"
"661","menghormati","positif"
"662","mengidealkan","positif"
"663","mengidolakan","positif"
"664","mengilhami","positif"
"665","menginginkan","positif"
"666","mengisyaratkan","positif"
"667","mengucapkan selamat","positif"
"668","mengundang","positif"
"669","mengungguli","positif"
"670","menguntungkan","positif"
"671","menikmati","positif"
"672","menimbulkan perasaan cinta","positif"
"673","menimbulkan rasa antusias","positif"
"674","meninggikan","positif"
"675","meningkat","positif"
"676","meningkatkan","positif"
"677","menitipkan","positif"
"678","menjamin","positif"
"679","menjanjikan","positif"
"680","menonjol","positif"
"681","mentereng","positif"
"682","menunjukkan gejala","positif"
"683","menurut hak","positif"
"684","menyalip","positif"
"685","menyambut","positif"
"686","menyanjung","positif"
"687","menyaring","positif"
"688","menyederhanakan","positif"
"689","menyegarkan","positif"
"690","menyelaraskan","positif"
"691","menyelesaikan","positif"
"692","menyembuhkan","positif"
"693","menyenangkan","positif"
"694","menyerahkan","positif"
"695","menyeringai","positif"
"696","menyetujui","positif"
"697","menyubsidi","positif"
"698","menyukai","positif"
"699","menyusul","positif"
"700","merangsang","positif"
"701","merayakan","positif"
"702","merayu","positif"
"703","mereda","positif"
"704","mereformasi","positif"
"705","merekomendasikan","positif"
"706","merelakan","positif"
"707","meremajakan","positif"
"708","merenung","positif"
"709","merevitalisasi","positif"
"710","merevolusi","positif"
"711","merevolusionerkan","positif"
"712","meriangkan","positif"
"713","meringankan","positif"
"714","meromantiskan","positif"
"715","meyakinkan","positif"
"716","minim resiko","positif"
"717","modern","positif"
"718","modis","positif"
"719","montok","positif"
"720","monumental","positif"
"721","moralitas","positif"
"722","muda","positif"
"723","mudah","positif"
"724","mudah digunakan","positif"
"725","mujarab","positif"
"726","mukjizat","positif"
"727","mulia","positif"
"728","mulus","positif"
"729","murah banget","positif"
"730","murah hati","positif"
"731","murni","positif"
"732","mutakhir","positif"
"733","nasib","positif"
"734","nikmat","positif"
"735","non-kekerasan","positif"
"736","nyaman","positif"
"737","obat untuk segala penyakit","positif"
"738","obsesi","positif"
"739","optimal","positif"
"740","optimis","positif"
"741","optimisme","positif"
"742","pahlawan","positif"
"743","pahlawan wanita","positif"
"744","paling beruntung","positif"
"745","paling dikenal","positif"
"746","pandai berbicara","positif"
"747","panorama","positif"
"748","pantas","positif"
"749","pasien","positif"
"750","pasti","positif"
"751","pasukan penjaga perdamaian","positif"
"752","patriot","positif"
"753","patriotik","positif"
"754","patuh","positif"
"755","peka","positif"
"756","pelamun","positif"
"757","pelindung","positif"
"758","pelonggaran","positif"
"759","pembaruan","positif"
"760","pembebasan","positif"
"761","pembela","positif"
"762","pemberdayaan","positif"
"763","pemberian Tuhan","positif"
"764","pembersih","positif"
"765","pembetulan","positif"
"766","pemecah masalah","positif"
"767","pemenang","positif"
"768","pemenuhan","positif"
"769","pemulihan","positif"
"770","penampilan terbaik","positif"
"771","pencerahan","positif"
"772","pencinta","positif"
"773","pendewaan","positif"
"774","pendukung","positif"
"775","penebusan","positif"
"776","penegasan kembali","positif"
"777","penentuan nasib sendiri","positif"
"778","penerima","positif"
"779","pengagum","positif"
"780","pengampunan","positif"
"781","pengangkatan","positif"
"782","pengaruh","positif"
"783","pengasih","positif"
"784","pengasuhan","positif"
"785","pengembalian dana","positif"
"786","penggemar","positif"
"787","penghargaan","positif"
"788","Penghargaan","positif"
"789","penghemat","positif"
"790","penghematan","positif"
"791","penghematan biaya","positif"
"792","penghiburan","positif"
"793","penghormatan","positif"
"794","penguasaan","positif"
"795","peninggian derajat","positif"
"796","peningkatan","positif"
"797","penjualan terbaik","positif"
"798","penolong","positif"
"799","penting","positif"
"800","penuh gaya","positif"
"801","penuh harapan","positif"
"802","penuh kasih","positif"
"803","penuh kebahagiaan","positif"
"804","penuh kebajikan","positif"
"805","penuh kegembiraan","positif"
"806","penuh kepercayaan","positif"
"807","penuh pengharapan","positif"
"808","penuh perasaan","positif"
"809","penuh perhatian","positif"
"810","penuh peristiwa","positif"
"811","penuh semangat","positif"
"812","penuh sukacita","positif"
"813","penyayang","positif"
"814","penyelamat","positif"
"815","penyuburan","positif"
"816","perasaan kagum","positif"
"817","perasaan suka cita","positif"
"818","perayaan","positif"
"819","perbaikan","positif"
"820","perbedaan","positif"
"821","perdamaian","positif"
"822","perdana menteri","positif"
"823","perhatian","positif"
"824","periang","positif"
"825","perjanjian","positif"
"826","perlindungan","positif"
"827","permai","positif"
"828","permata","positif"
"829","persahabatan","positif"
"830","persetujuan","positif"
"831","persik","positif"
"832","personalisasi","positif"
"833","pertama di kelas","positif"
"834","pertumbuhan tercepat","positif"
"835","pesona","positif"
"836","petualang","positif"
"837","piala","positif"
"838","pikiran-bertiup","positif"
"839","pilihan","positif"
"840","pintar","positif"
"841","Plus","positif"
"842","populer","positif"
"843","portabel","positif"
"844","positif","positif"
"845","preferensi","positif"
"846","prestasi","positif"
"847","pro","positif"
"848","proaktif","positif"
"849","prodigi","positif"
"850","produktif","positif"
"851","progresif","positif"
"852","promotor","positif"
"853","puas","positif"
"854","puitis","positif"
"855","pujian","positif"
"856","pukulan yg tdk keras","positif"
"857","pulih","positif"
"858","puncak","positif"
"859","rahmat","positif"
"860","rajin","positif"
"861","rak","positif"
"862","ramah","positif"
"863","ramah tamah","positif"
"864","rangsang","positif"
"865","rapi","positif"
"866","rasa hormat","positif"
"867","rasa manis","positif"
"868","rasional","positif"
"869","rata","positif"
"870","realisasi","positif"
"871","realistis","positif"
"872","reformasi","positif"
"873","rekomendasi","positif"
"874","rela","positif"
"875","reputasi","positif"
"876","reseptif","positif"
"877","resiko rendah","positif"
"878","responsif","positif"
"879","restrukturisasi","positif"
"880","revolusioner","positif"
"881","ria gembira","positif"
"882","riang","positif"
"883","ringan","positif"
"884","ringkas","positif"
"885","rohani","positif"
"886","rokstar","positif"
"887","romantis","positif"
"888","rujuk","positif"
"889","sabar","positif"
"890","sah","positif"
"891","saleh","positif"
"892","salut","positif"
"893","sangat","positif"
"894","sangat baik","positif"
"895","sangat berharga","positif"
"896","sangat indah","positif"
"897","sangat memuaskan","positif"
"898","sangat menarik","positif"
"899","sangat menyayangi","positif"
"900","sangat mudah","positif"
"901","sangat penting","positif"
"902","sangat rajin","positif"
"903","sangat sopan","positif"
"904","sangat tepat","positif"
"905","sanjungan","positif"
"906","sarankan","positif"
"907","sayang","positif"
"908","sayang anak","positif"
"909","secara kuat","positif"
"910","secara menyenangkan","positif"
"911","secara terbuka","positif"
"912","secepatnya","positif"
"913","sederhana","positif"
"914","segar","positif"
"915","segera","positif"
"916","sehat","positif"
"917","seimbang","positif"
"918","seksi","positif"
"919","Selamat","positif"
"920","selamat","positif"
"921","selayaknya","positif"
"922","selektif","positif"
"923","semakin lembut","positif"
"924","semakin makmur","positif"
"925","semangat","positif"
"926","sempurna","positif"
"927","semuanya","positif"
"928","senang","positif"
"929","sengaja","positif"
"930","senyum","positif"
"931","sepanjang masa","positif"
"932","sepantasnya","positif"
"933","sepatutnya","positif"
"934","sepenuh hati","positif"
"935","seperti","positif"
"936","seperti malaikat","positif"
"937","seperti patung","positif"
"938","seperti raja","positif"
"939","serangan balik","positif"
"940","serba cepat","positif"
"941","serba guna","positif"
"942","sesak napas","positif"
"943","sesuai","positif"
"944","sesuai dengan mode terakhir","positif"
"945","sesungguhnya","positif"
"946","setajam silet","positif"
"947","setia","positif"
"948","setuju","positif"
"949","sewajarnya","positif"
"950","siap","positif"
"951","sigap","positif"
"952","sihir","positif"
"953","sikap tenang","positif"
"954","silakan","positif"
"955","silau","positif"
"956","simpatisan","positif"
"957","sok aksi","positif"
"958","solidaritas","positif"
"959","sopan","positif"
"960","sorak kegirangan","positif"
"961","sosial","positif"
"962","spektakuler","positif"
"963","spontan","positif"
"964","sporty","positif"
"965","stabil","positif"
"966","stabilitas","positif"
"967","sub","positif"
"968","subhanallah","positif"
"969","subsidi","positif"
"970","substantif","positif"
"971","subur","positif"
"972","suci","positif"
"973","sukacita","positif"
"974","sukses","positif"
"975","sungguh","positif"
"976","sungguh-sungguh","positif"
"977","super","positif"
"978","supremasi","positif"
"979","surealis","positif"
"980","surga","positif"
"981","surgawi","positif"
"982","swasembada","positif"
"983","swatantra","positif"
"984","syukur","positif"
"985","taat","positif"
"986","taat hukum","positif"
"987","tabah","positif"
"988","tabungan","positif"
"989","tahan karat","positif"
"990","tahan lama","positif"
"991","tak ada salahnya","positif"
"992","tak ada taranya","positif"
"993","tak berbahaya","positif"
"994","tak bercacat","positif"
"995","tak bersuara","positif"
"996","tak bersyarat","positif"
"997","tak dapat disangsikan","positif"
"998","tak diragukan lagi","positif"
"999","tak disengaja","positif"
"1000","tak kenal takut","positif"
"1001","tak perlu dipersoalkan","positif"
"1002","tak terbantahkan","positif"
"1003","tak terbatas","positif"
"1004","tak tergantikan","positif"
"1005","tak terkalahkan","positif"
"1006","tak terlupakan","positif"
"1007","tak ternilai","positif"
"1008","tak terpadai","positif"
"1009","takdir","positif"
"1010","takjub","positif"
"1011","takzim","positif"
"1012","tampak","positif"
"1013","tampan","positif"
"1014","tanda","positif"
"1015","tangan ke bawah","positif"
"1016","tangkas","positif"
"1017","tanpa cela","positif"
"1018","tanpa dosa","positif"
"1019","tanpa malu-malu","positif"
"1020","tanpa rasa sakit","positif"
"1021","tanpa rasa takut","positif"
"1022","tanpa tenaga","positif"
"1023","tawar","positif"
"1024","tawaran","positif"
"1025","tdk berbahaya","positif"
"1026","tegas","positif"
"1027","teguh","positif"
"1028","teladan","positif"
"1029","teliti","positif"
"1030","temanmu","positif"
"1031","tenang","positif"
"1032","tepat","positif"
"1033","tepat pada waktunya","positif"
"1034","tepat waktu","positif"
"1035","tepuk tangan sorak","positif"
"1036","terampil","positif"
"1037","terang","positif"
"1038","terang benderang","positif"
"1039","teranyar","positif"
"1040","terbaik","positif"
"1041","terbaru","positif"
"1042","terbebani","positif"
"1043","terberat","positif"
"1044","terbersih","positif"
"1045","terbesar","positif"
"1046","terbukti","positif"
"1047","tercapai","positif"
"1048","tercengang","positif"
"1049","tercepat","positif"
"1050","tercinta","positif"
"1051","terdengar","positif"
"1052","terdepan","positif"
"1053","terelakkan","positif"
"1054","tergantikan","positif"
"1055","terhormat","positif"
"1056","terima","positif"
"1057","terima kasih","positif"
"1058","terjamin","positif"
"1059","terjangkau","positif"
"1060","terkalahkan","positif"
"1061","terkejar","positif"
"1062","terkekang","positif"
"1063","terkemuka","positif"
"1064","terkenal","positif"
"1065","terkenal di dunia","positif"
"1066","terkuat","positif"
"1067","terlalu memanjakan","positif"
"1068","termotivasi","positif"
"1069","termudah","positif"
"1070","termurah","positif"
"1071","terobosan","positif"
"1072","terompet","positif"
"1073","terpadu","positif"
"1074","terpanas","positif"
"1075","terpelajar","positif"
"1076","terpenting","positif"
"1077","terpercaya","positif"
"1078","terpesona","positif"
"1079","terpuji","positif"
"1080","terrifically","positif"
"1081","tersayang","positif"
"1082","tersedia","positif"
"1083","tersenyum","positif"
"1084","tertib","positif"
"1085","tertinggi","positif"
"1086","terus terang","positif"
"1087","terutama","positif"
"1088","tetap","positif"
"1089","tiada bandingan","positif"
